"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 50","19 Nov 2025","17349.65","17408.6","17283.2","17376.80"
"NIFTY MIDCAP 50","18 Nov 2025","17445.2","17446.9","17327.15","17337.65"
"NIFTY MIDCAP 50","17 Nov 2025","17374.25","17454.7","17347","17444.50"
"NIFTY MIDCAP 50","14 Nov 2025","17293.7","17366.8","17220.35","17299.70"
"NIFTY MIDCAP 50","13 Nov 2025","17362.45","17415.95","17256.4","17281.30"
"NIFTY MIDCAP 50","12 Nov 2025","17289.6","17385.9","17276.7","17339.65"
"NIFTY MIDCAP 50","11 Nov 2025","17137.15","17208.35","17011.2","17196.60"
"NIFTY MIDCAP 50","10 Nov 2025","17051.8","17152.15","17019.35","17097.45"
"NIFTY MIDCAP 50","07 Nov 2025","16887.7","17053.95","16741.05","17030.90"
"NIFTY MIDCAP 50","06 Nov 2025","17069.15","17082.85","16908.5","16931.35"
"NIFTY MIDCAP 50","04 Nov 2025","17137.35","17145.7","17030","17048.80"
"NIFTY MIDCAP 50","03 Nov 2025","17012.3","17173.7","16989.3","17135.65"
"NIFTY MIDCAP 50","31 Oct 2025","17073.5","17119.25","16992.1","17006.30"
"NIFTY MIDCAP 50","30 Oct 2025","17092.3","17093.5","16962.55","17052.25"
"NIFTY MIDCAP 50","29 Oct 2025","16944.6","17057.8","16897.25","17034.45"
"NIFTY MIDCAP 50","28 Oct 2025","16923.2","16946.45","16858.7","16931.25"
"NIFTY MIDCAP 50","27 Oct 2025","16807.3","16921.3","16781.05","16913.25"
"NIFTY MIDCAP 50","24 Oct 2025","16824.95","16878.3","16687.35","16736.80"
"NIFTY MIDCAP 50","23 Oct 2025","16893.95","16946.45","16770.2","16799.00"
"NIFTY MIDCAP 50","21 Oct 2025","16879.6","16892","16786","16814.25"
"NIFTY MIDCAP 50","20 Oct 2025","16747.2","16858.7","16743.25","16812.60"
"NIFTY MIDCAP 50","17 Oct 2025","16770.6","16790.3","16623.15","16668.75"
"NIFTY MIDCAP 50","16 Oct 2025","16727.65","16795.6","16674.55","16766.60"
"NIFTY MIDCAP 50","15 Oct 2025","16555.15","16706.5","16545.05","16678.15"
"NIFTY MIDCAP 50","14 Oct 2025","16707.3","16721.9","16477.4","16500.25"
"NIFTY MIDCAP 50","13 Oct 2025","16570.35","16669.25","16524.65","16653.90"
"NIFTY MIDCAP 50","10 Oct 2025","16542.55","16655.25","16510","16615.15"
"NIFTY MIDCAP 50","09 Oct 2025","16390.4","16536.1","16365.2","16522.40"
"NIFTY MIDCAP 50","08 Oct 2025","16468","16518.15","16332.65","16352.90"
"NIFTY MIDCAP 50","07 Oct 2025","16429.25","16494.5","16391.4","16474.00"
"NIFTY MIDCAP 50","06 Oct 2025","16210.3","16407.1","16209.9","16402.70"
"NIFTY MIDCAP 50","03 Oct 2025","16105.85","16215.95","16062.25","16199.85"
"NIFTY MIDCAP 50","01 Oct 2025","15961.6","16098.2","15914.5","16084.05"
"NIFTY MIDCAP 50","30 Sep 2025","15995.9","16021.15","15850.95","15945.40"
"NIFTY MIDCAP 50","29 Sep 2025","15958.2","16051.15","15899.05","15948.60"
"NIFTY MIDCAP 50","26 Sep 2025","16175.5","16198.35","15889.4","15902.30"
"NIFTY MIDCAP 50","25 Sep 2025","16323.75","16370.65","16179.05","16205.35"
